group,mae_mean,mae_std,rmse_mean,rmse_std,mae_ratio_mean,mae_ratio_std,rmse_ratio_mean,rmse_ratio_std
bottom,0.4126698970794678,0.016502327732769828,0.6941431063986481,0.035234817777254714,1.3026107052723521,0.028988769703955114,2.189994540556711,0.025234717503866924
middle,0.9319879114627838,0.02657317454041165,1.3717028134714329,0.028219159528879705,0.8527183952655555,0.016951196545152123,1.2553789005188036,0.034166397503119304
top,5.274465084075928,0.08443355893059132,8.78923219417165,0.2430213060738653,0.33779078251600814,0.009544168714810291,0.563481314634748,0.03615092632679456
