sales_group,feature_version,feature_count,mae,rmse,mean_sales,mae_ratio
top,base_lag_rolling,20,5.3781870885496454,8.674819100885607,15.934181818181818,0.3375251487599335
top,v2_trend,22,5.412020680904388,8.704024768874085,15.934181818181818,0.33964848290666305
top,v3_dow_effect,24,5.33026151010871,8.646747170431196,15.934181818181818,0.3345174274355634
top,v4_price_event_dept,48,5.25614075380623,8.472408047910367,15.934181818181818,0.3298657448359646
middle,base_lag_rolling,20,0.8545693703509698,1.258253386626695,0.9229090909090909,0.9259518394267797
middle,v2_trend,22,0.8549374740952909,1.2592577300170544,0.9229090909090909,0.9263506910015957
middle,v3_dow_effect,24,0.8534082128258818,1.258188952294692,0.9229090909090909,0.9246936900201634
middle,v4_price_event_dept,48,0.8523040691876261,1.2539175057046579,0.9229090909090909,0.9234973168896659
bottom,base_lag_rolling,20,0.4954126752928238,0.8044561174837547,0.4152121212121212,1.193155618498262
bottom,v2_trend,22,0.49425331745241685,0.8044321421071775,0.4152121212121212,1.1903634123434357
bottom,v3_dow_effect,24,0.49280402374586485,0.8037405434328725,0.4152121212121212,1.1868729224648622
bottom,v4_price_event_dept,48,0.48975567350265653,0.7967064700991991,0.4152121212121212,1.1795312527797157
