sales_group,model,feature_version,mae,rmse,mean_sales,mae_ratio
top,XGBoost_squarederror_v4,v4_price_event_dept,5.25614075380623,8.472408047910367,15.934181818181818,0.3298657448359646
top,XGBoost_log1p,v4_price_event_dept,5.161418169114647,8.926820636584212,15.934181818181818,0.3239211293061293
top,XGBoost_poisson,v4_price_event_dept,5.240464019568581,8.498971440916963,15.934181818181818,0.32888190177351373
middle,XGBoost_squarederror_v4,v4_price_event_dept,0.8523040691876261,1.2539175057046579,0.9229090909090909,0.9234973168896659
middle,XGBoost_log1p,v4_price_event_dept,0.8087401492113634,1.275600204380581,0.9229090909090909,0.8762944879161739
middle,XGBoost_poisson,v4_price_event_dept,0.8481744176349744,1.2490842203815262,0.9229090909090909,0.9190227141434908
bottom,XGBoost_squarederror_v4,v4_price_event_dept,0.48975567350265653,0.7967064700991991,0.4152121212121212,1.1795312527797157
bottom,XGBoost_log1p,v4_price_event_dept,0.458287245781362,0.8217107193102595,0.4152121212121212,1.103742454443508
bottom,XGBoost_poisson,v4_price_event_dept,0.48459311882733846,0.7998349671412963,0.4152121212121212,1.167097717216623
