group,mae_raw,mae_clip,mae_improvement,mae_improvement_rate,mae_ratio_raw,mae_ratio_clip,negative_pred_rate
top,5.3062334060668945,5.305883407592773,0.00034999847412109375,6.595987159572026e-05,0.3287900739053347,0.32876838695427796,0.002303030303030303
middle,0.9636659026145935,0.9636259078979492,3.999471664428711e-05,4.150267902576451e-05,0.8391201326265657,0.8390853068930373,0.004
bottom,0.4318573474884033,0.4318573474884033,0.0,0.0,1.2708482670873293,1.2708482670873293,0.0
