split_date,test_end_date,sales_group,model,mae,rmse,mean_sales,mae_ratio
2015-10-01,2015-10-28,top,XGBoost_log1p,5.389367679024917,9.525147245696981,16.526904761904763,0.3260966137741439
2015-10-01,2015-10-28,middle,XGBoost_log1p,0.8067829629470231,1.3537251484788653,0.9866666666666667,0.8176854354192802
2015-10-01,2015-10-28,bottom,XGBoost_log1p,0.39314611268414607,0.7010968163015178,0.3352380952380952,1.1727369838589585
2015-12-01,2015-12-28,top,XGBoost_log1p,4.2867838656944475,9.518302700739095,12.17845238095238,0.3519974239419091
2015-12-01,2015-12-28,middle,XGBoost_log1p,0.8533588762411514,1.4023582376687966,0.9830952380952381,0.8680327634325105
2015-12-01,2015-12-28,bottom,XGBoost_log1p,0.4095977556715419,0.7349009930696974,0.35035714285714287,1.1690863566567964
2016-02-01,2016-02-28,top,XGBoost_log1p,5.537429519661309,10.022624157239106,16.479880952380952,0.3360115000625221
2016-02-01,2016-02-28,middle,XGBoost_log1p,0.8922225736043038,1.4222223808764416,1.0902380952380952,0.8183740574662756
2016-02-01,2016-02-28,bottom,XGBoost_log1p,0.44542349405988285,0.7854920545733938,0.3986904761904762,1.1172162884750718
2016-03-01,2016-03-28,top,XGBoost_log1p,5.39909070077215,9.378538567627878,16.128095238095238,0.3347630715882227
2016-03-01,2016-03-28,middle,XGBoost_log1p,0.8090732339613698,1.2837006533807707,0.9114285714285715,0.8876979056002489
2016-03-01,2016-03-28,bottom,XGBoost_log1p,0.44738656852844066,0.8362864021381774,0.40345238095238095,1.1088955962345535
