group,feature_set,model,mae,rmse,test_sales_mean,mae_ratio,rmse_ratio
bottom,v4_price_event_dept,XGBoost,0.4318573474884033,0.7352030124041179,0.3398181818181818,1.2708482670873293,2.16351876309398
middle,v4_price_event_dept,XGBoost,0.9636659026145935,1.403387504779477,1.1484242424242423,0.8391201326265657,1.2220113899868792
top,v4_price_event_dept,XGBoost,5.3062334060668945,8.506897315761956,16.138666666666666,0.3287900739053347,0.5271127715483698
